movie_title,domestic_distributor,budget,domestic_opening_sales,earliest_release,rating,runtime_minutes,genres,summary_sales,crew_list,cast_list
Unstoppable,Twentieth Century Fox,100000000.0,22688457.0,2010-11-10,PG-13,98.0,"['Action', 'Thriller']","[['Domestic', 81562942], ['International', 86242524], ['Worldwide', 167805466]]","['Tony Scott', 'Mark Bomback', 'Eric McLeod', 'Mimi Rogers', 'Tony Scott', 'Julie Yorn', 'Alex Young', 'Harry Gregson-Williams', 'Ben Seresin', 'Robert Duffy', 'Chris Lebenzon', 'Chris Seagers']","['Denzel Washington', 'Chris Pine', 'Rosario Dawson', 'Ethan Suplee']"
Payback,Paramount Pictures,90000000.0,21221526.0,1999-02-05,R,100.0,"['Action', 'Crime', 'Drama', 'Thriller']","[['Domestic', 81526121], ['International', 80100000], ['Worldwide', 161626121]]","['Brian Helgeland', 'Donald E. Westlake', 'Brian Helgeland', 'Terry Hayes', 'Bruce Davey', 'Chris Boardman', 'Ericson Core', 'Kevin Stitt', 'Richard Hoover']","['Mel Gibson', 'Gregg Henry', 'Maria Bello', 'David Paymer']"
Ted 2,Universal Pictures,68000000.0,33507870.0,2015-06-19,R,115.0,['Comedy'],"[['Domestic', 81476385], ['International', 134387221], ['Worldwide', 215863606]]","['Seth MacFarlane', 'Seth MacFarlane', 'Alec Sulkin', 'Wellesley Wild', 'Seth MacFarlane', 'Jason Clark', 'John Jacobs', 'Seth MacFarlane', 'Scott Stuber', 'Walter Murphy', 'Michael Barrett', 'Jeff Freeman', 'Stephen J. Lineweaver']","['Mark Wahlberg', 'Seth MacFarlane', 'Amanda Seyfried', 'Jessica Barth']"
The Talented Mr. Ripley,Paramount Pictures,40000000.0,12738237.0,1999-12-25,R,139.0,"['Crime', 'Drama', 'Thriller']","[['Domestic', 81298265], ['International', 47500000], ['Worldwide', 128798265]]","['Anthony Minghella', 'Patricia Highsmith', 'Anthony Minghella', 'William Horberg', 'Tom Sternberg', 'Gabriel Yared', 'John Seale', 'Walter Murch', 'Roy Walker']","['Matt Damon', 'Gwyneth Paltrow', 'Jude Law', 'Cate Blanchett']"
School of Rock,Paramount Pictures,35000000.0,19622714.0,2003-10-03,PG-13,109.0,"['Comedy', 'Music']","[['Domestic', 81261177], ['International', 49834813], ['Worldwide', 131095990]]","['Richard Linklater', 'Mike White', 'Scott Rudin', 'Craig Wedren', 'Rogier Stoffers', 'Sandra Adair', 'Jeremy Conway']","['Jack Black', 'Mike White', 'Joan Cusack', 'Adam Pascal']"
Police Academy,Warner Bros.,,8570007.0,1984-03-23,,96.0,['Comedy'],"[['Domestic', 81198894], ['International', 81198894]]","['Hugh Wilson', 'Neal Israel', 'Pat Proft', 'Hugh Wilson', 'Neal Israel', 'Pat Proft', 'Paul Maslansky', 'Paul Maslansky', 'Robert Folk', 'Michael D. Margulies', 'Robert Brown', 'Zach Staenberg', 'Trevor Williams']","['Steve Guttenberg', 'G.W. Bailey', 'Kim Cattrall', 'Bubba Smith']"
Snow Dogs,Walt Disney Studios Motion Pictures,33000000.0,17814259.0,2002-01-18,PG,99.0,"['Adventure', 'Comedy', 'Family', 'Sport']","[['Domestic', 81172560], ['International', 33862530], ['Worldwide', 115035090]]","['Brian Levant', 'Jim Kouf', 'Tommy Swerdlow', 'Michael Goldberg', 'Mark Gibson', 'Philip Halprin', 'Gary Paulsen', 'Jordan Kerner', 'John Debney', 'Thomas E. Ackerman', 'Roger Bondelli', 'Stephen J. Lineweaver']","['Cuba Gooding Jr.', 'James Coburn', 'Sisqó', 'Nichelle Nichols']"
21,Sony Pictures Entertainment (SPE),35000000.0,24105943.0,2008-03-28,PG-13,123.0,"['Crime', 'Drama', 'History', 'Thriller']","[['Domestic', 81159365], ['International', 78649005], ['Worldwide', 159808370]]","['Robert Luketic', 'Peter Steinfeld', 'Allan Loeb', 'Ben Mezrich', 'Dana Brunetti', 'Michael De Luca', 'Kevin Spacey', 'David Sardy', 'Russell Carpenter', 'Elliot Graham', 'Missy Stewart']","['Jim Sturgess', 'Kate Bosworth', 'Kevin Spacey', 'Aaron Yoo']"
While You Were Sleeping,Walt Disney Studios Motion Pictures,17000000.0,9288915.0,1995-04-21,PG,103.0,"['Comedy', 'Drama', 'Romance']","[['Domestic', 81057016], ['International', 101000000], ['Worldwide', 182057016]]","['Jon Turteltaub', 'Daniel G. Sullivan', 'Fredric Lebow', 'Roger Birnbaum', 'Joe Roth', 'Randy Edelman', 'Phedon Papamichael', 'Bruce Green', 'Garreth Stover']","['Sandra Bullock', 'Bill Pullman', 'Peter Gallagher', 'Peter Boyle']"
Congo,Paramount Pictures,,24642539.0,1995-06-09,PG-13,109.0,"['Action', 'Adventure', 'Mystery', 'Sci-Fi']","[['Domestic', 81022101], ['International', 71000000], ['Worldwide', 152022101]]","['Frank Marshall', 'Michael Crichton', 'John Patrick Shanley', 'Kathleen Kennedy', 'Sam Mercer', 'Jerry Goldsmith', 'Allen Daviau', 'Anne V. Coates', 'J. Michael Riva']","['Laura Linney', 'Tim Curry', 'Dylan Walsh', 'Ernie Hudson']"
